name;N;cloud_var;cloud_mean;cloud_mean_func;train_method;elapsed_iterations;function_evaluations;clock_time;cpu_time;max_iterations;var_epsilon;learning_rate;kernel_a;alpha_init;alpha_rate;beta;gamma;gamma_rate
Quadratic Function;50;1.658081355404389e-07;[0.00032];1.0020994083109638e-07;swarm_derivfree;513;25650;0.10902000000000012;0.109375;10000;0.0001;0.01;0.001;0;1;0;10;0
pol_and_cosine;50;7.359496823456499e-06;[-0.00023];4.0559315413607e-06;swarm_derivfree;197;9850;0.047429399999999955;0.046875;5000;1,00E-05;0.01;0.001;0;10;0;1;0
pol_and_cosine_2;50;9.801236552931012e-05;[-0.00076];2.2368496326708912e-05;swarm_derivfree;190;9500;0.05731559999999991;0.0625;10000;0.0001;0.01;0.001;0;10;0;1;0
Gramacy & Lee Function;50;9.760667252117064e-05;[0.34835];-1.2530830798738781e+00;swarm_derivfree;210;10500;0.04343769999999836;0.046875;100000;0.0001;0.001;0.01;0;10;0;1;0
Beale function;50;8.478474565811321e-05;[3.36211 0.57196];1.552811082762947e-02;swarm_derivfree;242;12100;0.055223899999987225;0.046875;10000;0.0001;0.001;0.1;0;1;0;1;0
Ackley function;100;9.695734463672649e-05;[ 0.00081 -0.00251];7.6566803337279055e-03;swarm_derivfree;774;77400;0.2771451000000127;0.296875;100000;0.0001;0.01;0.001;0;1;0;1;0
Schaffer function N. 2;20;8.726278418690943e-06;[ 0.05347 -0.07169];5.521334954294854e-06;swarm_derivfree;830;16600;0.15225970000000189;0.15625;100000;1,00E-05;0.01;0.001;0;1;0;1;0
Lévi function N.13;50;3.0938850083609236e-07;[0.99983 1.00729];5.588786125644021e-05;swarm_derivfree;226;11300;0.06316079999999147;0.078125;100000;1,00E-05;0.01;0.01;0;1;0;1;0
Cross-in-Tray Function;50;9.241681020759821e-05;[1.90686 1.95393];-1.9926637905165787e+00;swarm_derivfree;2921;146050;0.6530503999999837;0.65625;100000;0.0001;0.01;0.1;0;1;0;1;0
Keane Function;50;5.401353798507307e-05;[1.20485 1.24181];-3.235907253742199e-04;swarm_derivfree;283;14150;0.066891499999997;0.0625;100000;0.0001;0.01;0.01;0;1;0;1;0
Easom Function;100;9.983683384509007e-05;[3.14162 3.14162];-9.999999982885365e-01;swarm_derivfree;1098;109800;0.36321739999999636;0.359375;10000;0.0001;0.01;0.001;0;1;0;1;0
Xin-She Yang N. 4 Function;200;9.907904800740021e-05;[-0.00015  0.00044];-9.994097553632695e-01;swarm_derivfree;1045;209000;1.4395979999999895;1.4375;100000;0.0001;0.01;0.001;0;1;0;1;0
