name,N,cloud_var,cloud_mean,cloud_mean_func,train_method,elapsed_iterations,function_evaluations,clock_time,cpu_time,max_iterations,var_epsilon,learning_rate,kernel_a,alpha_init,alpha_rate,beta,gamma
Quadratic Function,50,9.999205481273144e-05,[0.00113],1.281448982455905e-06,swarm_derivfree,698,34900,0.1312616000000002,0.140625,10000,0.0001,0.01,1.0,0,1.0,0,1
pol_and_cosine,50,9.999791426264686e-06,[-0.00038],1.169809371093329e-05,swarm_derivfree,22238,1111900,3.329723400000006,3.328125,100000,1e-05,0.01,0.01,0,1.0,0,1
pol_and_cosine_2,50,9.99760410755965e-05,[-0.00074],2.1112577040249385e-05,swarm_derivfree,7065,353250,1.2221125000000006,1.21875,10000,0.0001,0.01,0.001,0,10.0,0,1
Gramacy & Lee Function,50,9.99993519308479e-05,[0.54876],-8.689942603533318e-01,swarm_derivfree,7022,351100,1.1968057000000005,1.203125,100000,0.0001,0.001,0.01,0,10.0,0,10
Beale function,50,9.997191970519287e-06,[2.88375 0.46791],2.5352705940708186e-03,swarm_derivfree,3145,157250,0.5954833000000006,0.59375,10000,1e-05,0.001,1.0,0,5.0,0,1
Ackley function,100,9.999944996469997e-05,[-0.01013 -0.00758],4.003751734757799e-02,swarm_derivfree,22229,2222900,6.749119300000001,6.671875,100000,0.0001,0.01,0.001,0,1.0,0,1
Schaffer function N. 2,50,9.999663909898009e-06,[0.9997  1.00144],1.0325110002633172e-05,swarm_derivfree,22307,1115350,4.5131757000000015,4.515625,100000,1e-05,0.01,0.01,0,1.0,0,1
Cross-in-Tray Function,50,9.99928895508615e-05,[1.36174 1.37172],-2.0625407902437436e+00,swarm_derivfree,2281,114050,0.47101220000000055,0.46875,100000,0.0001,0.01,0.1,0,1.0,0,1
Keane Function,50,9.998668216887555e-05,[1.39674 0.00178],-6.736477439223008e-01,swarm_derivfree,2223,111150,0.40457079999999834,0.40625,100000,0.0001,0.01,0.1,0,1.0,0,1
Drop-Wave Function,200,9.999763943744486e-05,[0.45222 0.25652],-9.362420464336573e-01,swarm_derivfree,21524,4304800,21.12079970000002,21.0625,100000,0.0001,0.01,0.01,0,0.1,0,1
Rosenbrock function 3D,50,9.999914457317708e-05,[1.05195 1.10578 1.21714],1.7099848750030514e-02,swarm_derivfree,70661,3533050,15.576793099999996,15.5625,100000,0.0001,0.0001,0.001,0,10.0,0,1
Xin-She Yang N. 4 Function,200,9.995227120702097e-05,[0.05524 0.2179 ],-1.4323631461254684e+00,swarm_derivfree,2238,447600,2.6288728000000035,2.625,100000,0.0001,0.01,0.1,0,1.0,0,1
Qing Function,100,9.999188327919456e-06,"[-0.16246 -1.00408  1.41584  1.73316  2.0007  -2.23646  2.44995 -2.64631
  2.82819 -3.00025]",8.281051965259498e-04,swarm_derivfree,22323,2232300,24.498182100000008,24.5,100000,1e-05,0.01,0.01,0,1.0,0,1
Easom Function,100,9.999618085535083e-05,[3.14167 3.14167],-9.999999826052318e-01,swarm_derivfree,7069,706900,2.3237238000001526,2.3125,10000,0.0001,0.01,0.01,0,1.0,0,1
